TIMESTAMP [s],PPG1_SUB1,PPG1_SUB2,PPG1_SUB3,PPG1_SUB4,PPG1_SUB5,PPG1_SUB6,PPG1_SUB7,PPG1_SUB8,PPG2_SUB1,PPG2_SUB2,PPG2_SUB3,PPG2_SUB4,PPG2_SUB5,PPG2_SUB6,PPG2_SUB7,PPG2_SUB8,ECG_SEQ1_SUB1,ECG_SEQ1_SUB2,ECG_SEQ2_SUB1
3.56,-2,305,285,,,,,,,,,,,,,,,,
3.57,-3,313,299,,,,,,,,,,,,,,,,
3.58,-1,328,315,,,,,,,,,,,,,,,,
3.59,0,342,332,,,,,,,,,,,,,,,,
3.6,1,358,353,,,,,,,,,,,,,,,,
3.61,1,379,376,,,,,,,,,,,,,,,,
3.62,0,396,396,,,,,,,,,,,,,,,,
3.63,0,418,421,,,,,,,,,,,,,,,,
3.64,0,438,442,,,,,,,,,,,,,,,,
3.65,1,462,466,,,,,,,,,,,,,,,,
3.66,3,485,487,,,,,,,,,,,,,,,,
3.67,5,506,504,,,,,,,,,,,,,,,,
3.68,5,520,519,,,,,,,,,,,,,,,,
3.69,4,529,531,,,,,,,,,,,,,,,,
3.7,4,537,543,,,,,,,,,,,,,,,,
3.71,5,547,555,,,,,,,,,,,,,,,,
3.72,4,551,561,,,,,,,,,,,,,,,,
3.73,4,555,568,,,,,,,,,,,,,,,,
3.74,2,558,572,,,,,,,,,,,,,,,,
3.75,0,562,577,,,,,,,,,,,,,,,,
3.76,0,566,576,,,,,,,,,,,,,,,,
3.77,-1,572,579,,,,,,,,,,,,,,,,
3.78,-2,581,587,,,,,,,,,,,,,,,,
3.79,-2,603,605,,,,,,,,,,,,,,,,
3.8,-2,640,638,,,,,,,,,,,,,,,,
3.81,-2,690,681,,,,,,,,,,,,,,,,
3.82,-4,741,725,,,,,,,,,,,,,,,,
3.83,-3,783,762,,,,,,,,,,,,,,,,
3.84,-2,801,777,,,,,,,,,,,,,,,,
3.85,0,784,760,,,,,,,,,,,,,,,,
3.86,3,725,704,,,,,,,,,,,,,,,,
3.87,4,618,606,,,,,,,,,,,,,,,,
3.88,6,470,466,,,,,,,,,,,,,,,,
3.89,9,283,287,,,,,,,,,,,,,,,,
3.9,11,63,76,,,,,,,,,,,,,,,,
3.91,12,-182,-159,,,,,,,,,,,,,,,,
