TIMESTAMP [s],PPG1_SUB1,PPG1_SUB2,PPG1_SUB3,PPG1_SUB4,PPG1_SUB5,PPG1_SUB6,PPG1_SUB7,PPG1_SUB8,PPG2_SUB1,PPG2_SUB2,PPG2_SUB3,PPG2_SUB4,PPG2_SUB5,PPG2_SUB6,PPG2_SUB7,PPG2_SUB8,ECG_SEQ1_SUB1,ECG_SEQ1_SUB2,ECG_SEQ2_SUB1
2.58,2,74,-158,,,,,,,,,,,,,,,,
2.585,2,77,-150,,,,,,,,,,,,,,,,
2.59,2,81,-141,,,,,,,,,,,,,,,,
2.595,2,84,-131,,,,,,,,,,,,,,,,
2.6,2,86,-123,,,,,,,,,,,,,,,,
2.605,2,89,-115,,,,,,,,,,,,,,,,
2.61,2,92,-108,,,,,,,,,,,,,,,,
2.615,1,94,-101,,,,,,,,,,,,,,,,
2.62,1,96,-95,,,,,,,,,,,,,,,,
2.625,1,98,-89,,,,,,,,,,,,,,,,
2.63,0,100,-84,,,,,,,,,,,,,,,,
2.635,0,101,-78,,,,,,,,,,,,,,,,
2.64,0,102,-72,,,,,,,,,,,,,,,,
2.645,0,103,-67,,,,,,,,,,,,,,,,
2.65,0,104,-61,,,,,,,,,,,,,,,,
2.655,0,104,-57,,,,,,,,,,,,,,,,
2.66,0,104,-53,,,,,,,,,,,,,,,,
2.665,0,104,-48,,,,,,,,,,,,,,,,
2.67,0,103,-45,,,,,,,,,,,,,,,,
2.675,0,103,-41,,,,,,,,,,,,,,,,
2.68,0,103,-37,,,,,,,,,,,,,,,,
2.685,0,103,-32,,,,,,,,,,,,,,,,
2.69,0,104,-29,,,,,,,,,,,,,,,,
2.695,0,104,-23,,,,,,,,,,,,,,,,
2.7,0,105,-18,,,,,,,,,,,,,,,,
2.705,0,104,-12,,,,,,,,,,,,,,,,
2.71,0,104,-8,,,,,,,,,,,,,,,,
2.715,0,103,-3,,,,,,,,,,,,,,,,
2.72,0,103,2,,,,,,,,,,,,,,,,
2.725,0,104,8,,,,,,,,,,,,,,,,
2.73,0,105,14,,,,,,,,,,,,,,,,
2.735,0,105,21,,,,,,,,,,,,,,,,
2.74,0,106,29,,,,,,,,,,,,,,,,
2.745,0,106,36,,,,,,,,,,,,,,,,
2.75,0,107,46,,,,,,,,,,,,,,,,
2.755,0,107,53,,,,,,,,,,,,,,,,
2.76,0,108,62,,,,,,,,,,,,,,,,
2.765,0,110,70,,,,,,,,,,,,,,,,
2.77,0,111,77,,,,,,,,,,,,,,,,
2.775,0,112,87,,,,,,,,,,,,,,,,
2.78,0,113,97,,,,,,,,,,,,,,,,
2.785,0,114,108,,,,,,,,,,,,,,,,
2.79,0,117,120,,,,,,,,,,,,,,,,
2.795,0,120,134,,,,,,,,,,,,,,,,
2.8,0,125,150,,,,,,,,,,,,,,,,
2.805,0,130,168,,,,,,,,,,,,,,,,
2.81,0,136,188,,,,,,,,,,,,,,,,
2.815,0,143,211,,,,,,,,,,,,,,,,
2.82,0,150,236,,,,,,,,,,,,,,,,
2.825,0,159,263,,,,,,,,,,,,,,,,
2.83,0,169,290,,,,,,,,,,,,,,,,
2.835,0,178,318,,,,,,,,,,,,,,,,
2.84,0,187,344,,,,,,,,,,,,,,,,
2.845,0,195,370,,,,,,,,,,,,,,,,
2.85,-1,203,393,,,,,,,,,,,,,,,,
2.855,-1,210,417,,,,,,,,,,,,,,,,
2.86,-1,216,436,,,,,,,,,,,,,,,,
2.865,-1,220,454,,,,,,,,,,,,,,,,
2.87,-2,223,465,,,,,,,,,,,,,,,,
2.875,-2,225,474,,,,,,,,,,,,,,,,
2.88,-2,225,479,,,,,,,,,,,,,,,,
2.885,-2,222,479,,,,,,,,,,,,,,,,
2.89,-2,217,475,,,,,,,,,,,,,,,,
2.895,-2,211,465,,,,,,,,,,,,,,,,
2.9,-3,201,451,,,,,,,,,,,,,,,,
2.905,-3,190,431,,,,,,,,,,,,,,,,
2.91,-3,177,406,,,,,,,,,,,,,,,,
2.915,-3,160,376,,,,,,,,,,,,,,,,
2.92,-4,142,343,,,,,,,,,,,,,,,,
2.925,-4,122,305,,,,,,,,,,,,,,,,
2.93,-4,100,263,,,,,,,,,,,,,,,,
2.935,-4,77,218,,,,,,,,,,,,,,,,
2.94,-4,53,172,,,,,,,,,,,,,,,,
2.945,-4,28,125,,,,,,,,,,,,,,,,
2.95,-4,2,74,,,,,,,,,,,,,,,,
2.955,-4,-23,23,,,,,,,,,,,,,,,,
2.96,-4,-50,-27,,,,,,,,,,,,,,,,
2.965,-4,-76,-78,,,,,,,,,,,,,,,,
2.97,-4,-102,-130,,,,,,,,,,,,,,,,
2.975,-4,-126,-179,,,,,,,,,,,,,,,,
2.98,-5,-149,-225,,,,,,,,,,,,,,,,
2.985,-4,-171,-270,,,,,,,,,,,,,,,,
2.99,-4,-192,-312,,,,,,,,,,,,,,,,
2.995,-5,-211,-351,,,,,,,,,,,,,,,,
3.0,-4,-227,-386,,,,,,,,,,,,,,,,
3.005,-4,-242,-418,,,,,,,,,,,,,,,,
3.01,-3,-253,-442,,,,,,,,,,,,,,,,
3.015,-3,-262,-462,,,,,,,,,,,,,,,,
3.02,-2,-268,-478,,,,,,,,,,,,,,,,
