TIMESTAMP [s],PPG1_SUB1,PPG1_SUB2,PPG1_SUB3,SPO2: SIGNAL_QUALITY,SPO2: SPO2 [%],SPO2: HEART_RATE [bpm],SPO2: PI [%],SPO2: R,SPO2: AC_RED,SPO2: DC_RED,SPO2: AC_IR,SPO2: DC_IR,AGC1_CHANNEL,AGC1_PD_OFFSET_CHANGE,AGC1_PD_OFFSET_CURRENT,AGC1_LED_CHANGE,AGC1_LED_CURRENT,AGC2_CHANNEL,AGC2_PD_OFFSET_CHANGE,AGC2_PD_OFFSET_CURRENT,AGC2_LED_CHANGE,AGC2_LED_CURRENT
3.03,345926,747036,620999,,,,,,,,,,,,,,,,,,,
3.04,345926,747541,621578,,,,,,,,,,,,,,,,,,,
3.05,345916,748180,622171,,,,,,,,,,,,,,,,,,,
3.06,345926,748832,622830,,,,,,,,,,,,,,,,,,,
3.07,345907,749498,623482,13,100.0,75.0,5.55,0.7025,0,0,0,0,,,,,,,,,,
3.08,345937,750163,624158,,,,,,,,,,,,,,,,,,,
3.09,345921,750824,624809,,,,,,,,,,,,,,,,,,,
3.1,345948,751393,625359,,,,,,,,,,,,,,,,,,,
3.11,345925,751886,625880,,,,,,,,,,,,,,,,,,,
3.12,345930,752262,626244,,,,,,,,,,,,,,,,,,,
3.13,345925,752557,626587,,,,,,,,,,,,,,,,,,,
3.14,345933,752786,626808,,,,,,,,,,,,,,,,,,,
3.15,345922,752938,626971,,,,,,,,,,,,,,,,,,,
3.16,345941,753079,627158,,,,,,,,,,,,,,,,,,,
3.17,345930,753146,627225,,,,,,,,,,,,,,,,,,,
3.18,345922,753176,627272,,,,,,,,,,,,,,,,,,,
3.19,345926,753185,627318,,,,,,,,,,,,,,,,,,,
3.2,345924,753197,627362,,,,,,,,,,,,,,,,,,,
3.21,345908,753242,627445,,,,,,,,,,,,,,,,,,,
3.22,345929,753304,627511,,,,,,,,,,,,,,,,,,,
3.23,345915,753360,627602,,,,,,,,,,,,,,,,,,,
3.24,345937,753513,627740,,,,,,,,,,,,,,,,,,,
3.25,345918,753615,627913,,,,,,,,,,,,,,,,,,,
3.26,345934,753825,628152,,,,,,,,,,,,,,,,,,,
3.27,345924,754058,628435,,,,,,,,,,,,,,,,,,,
3.28,345935,754354,628735,,,,,,,,,,,,,,,,,,,
3.29,345918,754635,629018,,,,,,,,,,,,,,,,,,,
3.3,345926,754885,629318,,,,,,,,,,,,,,,,,,,
3.31,345925,755177,629597,,,,,,,,,,,,,,,,,,,
3.32,345946,755481,629929,,,,,,,,,,,,,,,,,,,
3.33,345933,755749,630221,,,,,,,,,,,,,,,,,,,
3.34,345961,756015,630574,,,,,,,,,,,,,,,,,,,
3.35,345925,756305,630843,,,,,,,,,,,,,,,,,,,
3.36,345937,756560,631172,,,,,,,,,,,,,,,,,,,
3.37,345935,756797,631415,,,,,,,,,,,,,,,,,,,
3.38,345953,757049,631684,,,,,,,,,,,,,,,,,,,
3.39,345923,757239,631897,,,,,,,,,,,,,,,,,,,
3.4,345953,757404,632079,,,,,,,,,,,,,,,,,,,
3.41,345943,757607,632263,,,,,,,,,,,,,,,,,,,
3.42,345956,757760,632455,,,,,,,,,,,,,,,,,,,
3.43,345945,757888,632603,,,,,,,,,,,,,,,,,,,
3.44,345963,758008,632759,,,,,,,,,,,,,,,,,,,
3.45,345945,758113,632839,,,,,,,,,,,,,,,,,,,
3.46,345955,758203,632957,,,,,,,,,,,,,,,,,,,
3.47,345932,758266,633053,,,,,,,,,,,,,,,,,,,
3.48,345948,758312,633134,,,,,,,,,,,,,,,,,,,
3.49,345919,758364,633200,,,,,,,,,,,,,,,,,,,
3.5,345937,758488,633310,,,,,,,,,,,,,,,,,,,
3.51,345923,758489,633375,,,,,,,,,,,,,,,,,,,
3.52,345948,758584,633456,,,,,,,,,,,,,,,,,,,
3.53,345928,758601,633505,,,,,,,,,,,,,,,,,,,
3.54,345951,758639,633540,,,,,,,,,,,,,,,,,,,
3.55,345931,758464,633440,,,,,,,,,,,,,,,,,,,
3.56,345966,758204,633224,,,,,,,,,,,,,,,,,,,
3.57,345936,757676,632742,,,,,,,,,,,,,,,,,,,
3.58,345948,756884,631992,,,,,,,,,,,,,,,,,,,
3.59,345928,755196,630296,,,,,,,,,,,,,,,,,,,
3.6,345940,752973,628131,,,,,,,,,,,,,,,,,,,
3.61,345924,750832,626151,,,,,,,,,,,,,,,,,,,
3.62,345920,748949,624291,,,,,,,,,,,,,,,,,,,
3.63,345903,747212,622513,,,,,,,,,,,,,,,,,,,
3.64,345901,745924,621300,,,,,,,,,,,,,,,,,,,
3.65,345862,745037,620434,,,,,,,,,,,,,,,,,,,
3.66,345894,744481,619873,,,,,,,,,,,,,,,,,,,
3.67,345877,744070,619523,,,,,,,,,,,,,,,,,,,
3.68,345892,743856,619323,,,,,,,,,,,,,,,,,,,
3.69,345860,743730,619226,,,,,,,,,,,,,,,,,,,
3.7,345889,743754,619241,,,,,,,,,,,,,,,,,,,
3.71,345874,743820,619326,,,,,,,,,,,,,,,,,,,
3.72,345894,744019,619528,,,,,,,,,,,,,,,,,,,
3.73,345860,744177,619726,,,,,,,,,,,,,,,,,,,
3.74,345872,744433,619981,,,,,,,,,,,,,,,,,,,
3.75,345869,744703,620283,,,,,,,,,,,,,,,,,,,
3.76,345886,745075,620640,,,,,,,,,,,,,,,,,,,
3.77,345872,745512,621103,,,,,,,,,,,,,,,,,,,
3.78,345876,746040,621651,,,,,,,,,,,,,,,,,,,
3.79,345864,746595,622202,,,,,,,,,,,,,,,,,,,
3.8,345897,747211,622804,,,,,,,,,,,,,,,,,,,
3.81,345893,747758,623386,,,,,,,,,,,,,,,,,,,
3.82,345878,748346,623953,,,,,,,,,,,,,,,,,,,
3.83,345881,748835,624456,,,,,,,,,,,,,,,,,,,
3.84,345892,749322,624960,,,,,,,,,,,,,,,,,,,
3.85,345885,749728,625347,,,,,,,,,,,,,,,,,,,
3.86,345888,750070,625694,,,,,,,,,,,,,,,,,,,
3.87,345887,750313,625922,,,,,,,,,,,,,,,,,,,
3.88,345894,750465,626091,,,,,,,,,,,,,,,,,,,
3.89,345873,750523,626175,,,,,,,,,,,,,,,,,,,
3.9,345887,750550,626246,,,,,,,,,,,,,,,,,,,
3.91,345879,750511,626186,,,,,,,,,,,,,,,,,,,
3.92,345885,750479,626166,,,,,,,,,,,,,,,,,,,
3.93,345879,750392,626128,,,,,,,,,,,,,,,,,,,
3.94,345900,750369,626147,,,,,,,,,,,,,,,,,,,
